m,dm,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
250.0,25.0,75.0,0.361,0.132,-1.0,3.5739,9.9,27.075
275.0,25.0,75.0,0.361,0.162,-1.0,4.38615,12.15,27.075
300.0,25.0,75.0,0.302,0.1665,-1.0,3.771225,12.4875,22.65
325.0,25.0,75.0,0.302,0.1813,-1.0,4.106445,13.597499999999998,22.65
350.0,25.0,75.0,0.302,0.2071,-1.0,4.690815,15.5325,22.65
375.0,25.0,75.0,0.302,0.2103,-1.0,4.763294999999999,15.772499999999999,22.65
400.0,25.0,75.0,0.275,0.2137,-1.0,4.4075625,16.0275,20.625
425.0,25.0,75.0,0.275,0.2363,-1.0,4.8736875,17.7225,20.625
450.0,25.0,75.0,0.275,0.2403,-1.0,4.9561875,18.0225,20.625
475.0,25.0,75.0,0.275,0.2416,-1.0,4.9830000000000005,18.12,20.625
500.0,25.0,75.0,0.254,0.2578,-1.0,4.91109,19.334999999999997,19.05
525.0,25.0,75.0,0.254,0.2556,-1.0,4.86918,19.169999999999998,19.05
550.0,25.0,75.0,0.254,0.2639,-1.0,5.0272950000000005,19.7925,19.05
575.0,25.0,75.0,0.254,0.2655,-1.0,5.057775,19.9125,19.05
600.0,25.0,75.0,0.237,0.2621,-1.0,4.658827499999999,19.6575,17.775
625.0,25.0,75.0,0.237,0.2924,-1.0,5.19741,21.93,17.775
650.0,25.0,75.0,0.237,0.2853,-1.0,5.0712075,21.3975,17.775
675.0,25.0,75.0,0.237,0.2853,-1.0,5.0712075,21.3975,17.775
700.0,25.0,75.0,0.237,0.2983,-1.0,5.3022825,22.372500000000002,17.775
725.0,25.0,75.0,0.237,0.3057,-1.0,5.4338175,22.927500000000002,17.775
750.0,25.0,75.0,0.237,0.3076,-1.0,5.4675899999999995,23.07,17.775
775.0,25.0,75.0,0.237,0.3024,-1.0,5.375159999999999,22.68,17.775
800.0,25.0,75.0,0.237,0.314,-1.0,5.58135,23.55,17.775
825.0,25.0,75.0,0.237,0.3145,-1.0,5.5902375,23.5875,17.775
850.0,25.0,75.0,0.237,0.3346,-1.0,5.947515,25.095,17.775
875.0,25.0,75.0,0.237,0.3316,-1.0,5.89419,24.87,17.775
900.0,25.0,75.0,0.237,0.3404,-1.0,6.050609999999999,25.529999999999998,17.775
925.0,25.0,75.0,0.237,0.3374,-1.0,5.997284999999999,25.305,17.775
950.0,25.0,75.0,0.237,0.3345,-1.0,5.9457375,25.087500000000002,17.775
975.0,25.0,75.0,0.237,0.3284,-1.0,5.8373099999999996,24.630000000000003,17.775
1000.0,25.0,75.0,0.237,0.3288,-1.0,5.8444199999999995,24.66,17.775
1025.0,25.0,75.0,0.237,0.3412,-1.0,6.06483,25.59,17.775
1050.0,25.0,75.0,0.237,0.3482,-1.0,6.189254999999999,26.115000000000002,17.775
1075.0,25.0,75.0,0.237,0.3423,-1.0,6.084382499999999,25.6725,17.775
1100.0,25.0,75.0,0.237,0.3536,-1.0,6.28524,26.520000000000003,17.775
250.0,10.0,250.0,0.361,0.1346,-1.0,12.14765,33.65,90.25
275.0,10.0,250.0,0.361,0.1609,-1.0,14.521225,40.224999999999994,90.25
300.0,10.0,250.0,0.302,0.1636,-1.0,12.351799999999999,40.9,75.5
325.0,10.0,250.0,0.302,0.1776,-1.0,13.408800000000001,44.4,75.5
350.0,10.0,250.0,0.302,0.1936,-1.0,14.6168,48.4,75.5
375.0,10.0,250.0,0.302,0.2159,-1.0,16.30045,53.975,75.5
400.0,10.0,250.0,0.275,0.2109,-1.0,14.499375,52.725,68.75
425.0,10.0,250.0,0.275,0.2291,-1.0,15.750625,57.275,68.75
450.0,10.0,250.0,0.275,0.2298,-1.0,15.79875,57.45,68.75
475.0,10.0,250.0,0.275,0.2325,-1.0,15.984375,58.125,68.75
500.0,10.0,250.0,0.254,0.2472,-1.0,15.6972,61.800000000000004,63.5
525.0,10.0,250.0,0.254,0.2577,-1.0,16.36395,64.425,63.5
550.0,10.0,250.0,0.254,0.2605,-1.0,16.54175,65.125,63.5
575.0,10.0,250.0,0.254,0.2617,-1.0,16.61795,65.425,63.5
600.0,10.0,250.0,0.237,0.2794,-1.0,16.55445,69.85,59.25
625.0,10.0,250.0,0.237,0.2694,-1.0,15.961949999999998,67.35,59.25
650.0,10.0,250.0,0.237,0.2799,-1.0,16.584075,69.975,59.25
675.0,10.0,250.0,0.237,0.2713,-1.0,16.074524999999998,67.825,59.25
700.0,10.0,250.0,0.237,0.2885,-1.0,17.093625,72.125,59.25
725.0,10.0,250.0,0.237,0.3016,-1.0,17.869799999999998,75.39999999999999,59.25
750.0,10.0,250.0,0.237,0.3163,-1.0,18.740775000000003,79.075,59.25
775.0,10.0,250.0,0.237,0.2965,-1.0,17.567625,74.125,59.25
800.0,10.0,250.0,0.237,0.3065,-1.0,18.160125,76.625,59.25
825.0,10.0,250.0,0.237,0.3072,-1.0,18.2016,76.8,59.25
850.0,10.0,250.0,0.237,0.3351,-1.0,19.854675,83.775,59.25
875.0,10.0,250.0,0.237,0.312,-1.0,18.486,78.0,59.25
900.0,10.0,250.0,0.237,0.3319,-1.0,19.665074999999998,82.975,59.25
925.0,10.0,250.0,0.237,0.3275,-1.0,19.404375,81.875,59.25
950.0,10.0,250.0,0.237,0.3228,-1.0,19.125899999999998,80.69999999999999,59.25
975.0,10.0,250.0,0.237,0.3295,-1.0,19.522875000000003,82.375,59.25
1000.0,10.0,250.0,0.237,0.3299,-1.0,19.546575,82.47500000000001,59.25
1025.0,10.0,250.0,0.237,0.3358,-1.0,19.89615,83.95,59.25
1050.0,10.0,250.0,0.237,0.3501,-1.0,20.743425000000002,87.525,59.25
1075.0,10.0,250.0,0.237,0.3393,-1.0,20.103525,84.825,59.25
1100.0,10.0,250.0,0.237,0.3523,-1.0,20.873775,88.075,59.25
250.0,20.0,75.0,0.361,0.1447,-1.0,3.9177524999999997,10.8525,27.075
275.0,20.0,75.0,0.361,0.1564,-1.0,4.23453,11.73,27.075
300.0,20.0,75.0,0.302,0.172,-1.0,3.8957999999999995,12.899999999999999,22.65
325.0,20.0,75.0,0.302,0.1719,-1.0,3.8935349999999995,12.8925,22.65
350.0,20.0,75.0,0.302,0.1924,-1.0,4.35786,14.43,22.65
375.0,20.0,75.0,0.302,0.2017,-1.0,4.568504999999999,15.1275,22.65
400.0,20.0,75.0,0.275,0.2125,-1.0,4.3828125,15.9375,20.625
425.0,20.0,75.0,0.275,0.2266,-1.0,4.6736249999999995,16.995,20.625
450.0,20.0,75.0,0.275,0.2127,-1.0,4.3869375,15.9525,20.625
475.0,20.0,75.0,0.275,0.2312,-1.0,4.7684999999999995,17.34,20.625
500.0,20.0,75.0,0.254,0.2545,-1.0,4.848225,19.0875,19.05
525.0,20.0,75.0,0.254,0.2527,-1.0,4.813935,18.952499999999997,19.05
550.0,20.0,75.0,0.254,0.2696,-1.0,5.13588,20.22,19.05
575.0,20.0,75.0,0.254,0.2498,-1.0,4.75869,18.735,19.05
600.0,20.0,75.0,0.237,0.2795,-1.0,4.9681125,20.962500000000002,17.775
625.0,20.0,75.0,0.237,0.273,-1.0,4.852575,20.475,17.775
650.0,20.0,75.0,0.237,0.2863,-1.0,5.088982499999999,21.4725,17.775
