m,dm,filterEff
250.0,40,0.1694
250.0,50,0.1646
250.0,60,0.1773
250.0,70,0.175
250.0,80,0.18
275.0,40,0.1633
275.0,50,0.1760
275.0,60,0.1833
275.0,70,0.2035
275.0,80,0.2016
300.0,40,0.183
300.0,50,0.1831
300.0,60,0.2054
300.0,70,0.1995
300.0,80,0.2159
325.0,40,0.1875
325.0,50,0.2026
325.0,60,0.2088
325.0,70,0.2311
325.0,80,0.2518
350.0,40,0.1945
350.0,50,0.2186
350.0,60,0.2272
350.0,70,0.2284
350.0,80,0.2459
375.0,40,0.2025
375.0,50,0.2222
375.0,60,0.2344
375.0,70,0.2460
375.0,80,0.2448
400.0,40,0.2331
400.0,50,0.2344
400.0,60,0.2537
400.0,70,0.2612
400.0,80,0.2830
425.0,40,0.2325
425.0,50,0.2417
425.0,60,0.2588
425.0,70,0.2869
425.0,80,0.2925
450.0,40,0.2527
450.0,50,0.2414
450.0,60,0.2769
450.0,70,0.2751
450.0,80,0.2966
475.0,40,0.2632
475.0,50,0.2604
475.0,60,0.2883
475.0,70,0.2977
475.0,80,0.3017
500.0,40,0.2689
500.0,50,0.2725
500.0,60,0.2861
500.0,70,0.3051
500.0,80,0.3047
525.0,40,0.2688
525.0,50,0.26
525.0,60,0.3005
525.0,70,0.3135
525.0,80,0.3226
550.0,40,0.2692
550.0,50,0.2914
550.0,60,0.3051
550.0,70,0.3241
550.0,80,0.3354
575.0,40,0.2804
575.0,50,0.2929
575.0,60,0.2961
575.0,70,0.3147
575.0,80,0.3339
600.0,40,0.2828
600.0,50,0.2844
600.0,60,0.3183
600.0,70,0.3271
600.0,80,0.3404
625.0,40,0.2925
625.0,50,0.2967
625.0,60,0.3173
625.0,70,0.3337
625.0,80,0.3573
650.0,40,0.2864
650.0,50,0.3136
650.0,60,0.3167
650.0,70,0.3464
650.0,80,0.3608
675.0,40,0.2959
675.0,50,0.3096
675.0,60,0.3242
675.0,70,0.3544
675.0,80,0.3695
700.0,40,0.3031
700.0,50,0.3249
700.0,60,0.3416
700.0,70,0.3676
700.0,80,0.3632
725.0,40,0.3229
725.0,50,0.3181
725.0,60,0.3458
725.0,70,0.342
725.0,80,0.3722
750.0,40,0.3122
750.0,50,0.3462
750.0,60,0.3272
750.0,70,0.3587
750.0,80,0.3670
775.0,40,0.3223
775.0,50,0.3318
775.0,60,0.3502
775.0,70,0.3783
775.0,80,0.3989
800.0,40,0.3233
800.0,50,0.3337
800.0,60,0.3443
800.0,70,0.3804
800.0,80,0.3909
825.0,40,0.3218
825.0,50,0.3327
825.0,60,0.3331
825.0,70,0.3857
825.0,80,0.3953
850.0,40,0.3339
850.0,50,0.3404
850.0,60,0.3487
850.0,70,0.3775
850.0,80,0.4004
875.0,40,0.3253
875.0,50,0.3671
875.0,60,0.3688
875.0,70,0.3772
875.0,80,0.4064
900.0,40,0.337
900.0,50,0.3479
900.0,60,0.3648
900.0,70,0.3929
900.0,80,0.4118
925.0,40,0.3418
925.0,50,0.359
925.0,60,0.3567
925.0,70,0.3953
925.0,80,0.4184
950.0,40,0.3276
950.0,50,0.3504
950.0,60,0.3567
950.0,70,0.3801
950.0,80,0.4193
975.0,40,0.3429
975.0,50,0.36
975.0,60,0.3635
975.0,70,0.3854
975.0,80,0.3875
1000.0,40,0.3513
1000.0,50,0.3566
1000.0,60,0.3778
1000.0,70,0.3816
1000.0,80,0.4161
1025.0,40,0.3354
1025.0,50,0.3682
1025.0,60,0.3891
1025.0,70,0.3963
1025.0,80,0.4098
1050.0,40,0.3711
1050.0,50,0.3578
1050.0,60,0.3822
1050.0,70,0.4001
1050.0,80,0.4042
1075.0,40,0.3754
1075.0,50,0.3852
1075.0,60,0.3747
1075.0,70,0.3885
1075.0,80,0.4205
1100.0,40,0.3569
1100.0,50,0.3721
1100.0,60,0.3829
1100.0,70,0.4027
1100.0,80,0.423
