m,mNeu,dm,filterEff
250.0,210,40,0.1694
250.0,200,50,0.1646
250.0,190,60,0.1773
250.0,180,70,0.175
250.0,170,80,0.18
275.0,235,40,0.1633
275.0,225,50,0.176
275.0,215,60,0.1833
275.0,205,70,0.2035
275.0,195,80,0.2016
300.0,260,40,0.183
300.0,250,50,0.1831
300.0,240,60,0.2054
300.0,230,70,0.1995
300.0,220,80,0.2159
325.0,285,40,0.1875
325.0,275,50,0.2026
325.0,265,60,0.2088
325.0,255,70,0.2311
325.0,245,80,0.2518
350.0,310,40,0.1945
350.0,300,50,0.2186
350.0,290,60,0.2272
350.0,280,70,0.2284
350.0,270,80,0.2459
375.0,335,40,0.2025
375.0,325,50,0.2222
375.0,315,60,0.2344
375.0,305,70,0.246
375.0,295,80,0.2448
400.0,360,40,0.2331
400.0,350,50,0.2344
400.0,340,60,0.2537
400.0,330,70,0.2612
400.0,320,80,0.283
425.0,385,40,0.2325
425.0,375,50,0.2417
425.0,365,60,0.2588
425.0,355,70,0.2869
425.0,345,80,0.2925
450.0,410,40,0.2527
450.0,400,50,0.2414
450.0,390,60,0.2769
450.0,380,70,0.2751
450.0,370,80,0.2966
475.0,435,40,0.2632
475.0,425,50,0.2604
475.0,415,60,0.2883
475.0,405,70,0.2977
475.0,395,80,0.3017
500.0,460,40,0.2689
500.0,450,50,0.2725
500.0,440,60,0.2861
500.0,430,70,0.3051
500.0,420,80,0.3047
525.0,485,40,0.2688
525.0,475,50,0.26
525.0,465,60,0.3005
525.0,455,70,0.3135
525.0,445,80,0.3226
550.0,510,40,0.2692
550.0,500,50,0.2914
550.0,490,60,0.3051
550.0,480,70,0.3241
550.0,470,80,0.3354
575.0,535,40,0.2804
575.0,525,50,0.2929
575.0,515,60,0.2961
575.0,505,70,0.3147
575.0,495,80,0.334
600.0,560,40,0.2828
600.0,550,50,0.2844
600.0,540,60,0.3183
600.0,530,70,0.3271
600.0,520,80,0.3404
625.0,585,40,0.2925
625.0,575,50,0.2967
625.0,565,60,0.3173
625.0,555,70,0.3337
625.0,545,80,0.3573
650.0,610,40,0.2864
650.0,600,50,0.3136
650.0,590,60,0.3167
650.0,580,70,0.3464
650.0,570,80,0.3608
675.0,635,40,0.2959
675.0,625,50,0.3096
675.0,615,60,0.3242
675.0,605,70,0.3544
675.0,595,80,0.3695
700.0,660,40,0.3031
700.0,650,50,0.3249
700.0,640,60,0.3416
700.0,630,70,0.3676
700.0,620,80,0.3632
725.0,685,40,0.3229
725.0,675,50,0.3181
725.0,665,60,0.3458
725.0,655,70,0.342
725.0,645,80,0.3722
750.0,710,40,0.3122
750.0,700,50,0.3462
750.0,690,60,0.3272
750.0,680,70,0.3587
750.0,670,80,0.367
775.0,735,40,0.3223
775.0,725,50,0.3318
775.0,715,60,0.3502
775.0,705,70,0.3783
775.0,695,80,0.399
800.0,760,40,0.3233
800.0,750,50,0.3337
800.0,740,60,0.3443
800.0,730,70,0.3804
800.0,720,80,0.3909
825.0,785,40,0.3218
825.0,775,50,0.3327
825.0,765,60,0.3331
825.0,755,70,0.3857
825.0,745,80,0.3953
850.0,810,40,0.334
850.0,800,50,0.3404
850.0,790,60,0.3487
850.0,780,70,0.3775
850.0,770,80,0.4004
875.0,835,40,0.3253
875.0,825,50,0.3671
875.0,815,60,0.3688
875.0,805,70,0.3772
875.0,795,80,0.4064
900.0,860,40,0.337
900.0,850,50,0.3479
900.0,840,60,0.3648
900.0,830,70,0.3929
900.0,820,80,0.4118
925.0,885,40,0.3418
925.0,875,50,0.359
925.0,865,60,0.3567
925.0,855,70,0.3953
925.0,845,80,0.4184
950.0,910,40,0.3276
950.0,900,50,0.3504
950.0,890,60,0.3567
950.0,880,70,0.3801
950.0,870,80,0.4193
975.0,935,40,0.3429
975.0,925,50,0.36
975.0,915,60,0.3635
975.0,905,70,0.3854
975.0,895,80,0.3875
1000.0,960,40,0.3513
1000.0,950,50,0.3566
1000.0,940,60,0.3778
1000.0,930,70,0.3816
1000.0,920,80,0.4161
1025.0,985,40,0.3354
1025.0,975,50,0.3682
1025.0,965,60,0.3891
1025.0,955,70,0.3963
1025.0,945,80,0.4098
1050.0,1010,40,0.3711
1050.0,1000,50,0.3578
1050.0,990,60,0.3822
1050.0,980,70,0.4001
1050.0,970,80,0.4042
1075.0,1035,40,0.3754
1075.0,1025,50,0.3852
1075.0,1015,60,0.3747
1075.0,1005,70,0.3885
1075.0,995,80,0.4205
1100.0,1060,40,0.3569
1100.0,1050,50,0.3721
1100.0,1040,60,0.3829
1100.0,1030,70,0.4027
1100.0,1020,80,0.423
