m,dm,brct,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
250.0,10.0,0.3,500.0,0.361,0.1299,-1.0,23.446949999999998,64.94999999999999,180.5
250.0,10.0,1.0,500.0,0.361,0.1299,-1.0,23.446949999999998,64.94999999999999,180.5
275.0,10.0,0.3,500.0,0.361,0.1673,-1.0,30.19765,83.65,180.5
275.0,10.0,1.0,500.0,0.361,0.1555,-1.0,28.06775,77.75,180.5
300.0,10.0,0.3,500.0,0.302,0.1681,-1.0,25.3831,84.05,151.0
300.0,10.0,1.0,500.0,0.302,0.1677,-1.0,25.322699999999998,83.85,151.0
325.0,10.0,0.3,500.0,0.302,0.1814,-1.0,27.3914,90.7,151.0
325.0,10.0,1.0,500.0,0.302,0.1812,-1.0,27.3612,90.6,151.0
350.0,10.0,0.3,500.0,0.302,0.2002,-1.0,30.2302,100.1,151.0
350.0,10.0,1.0,500.0,0.302,0.1903,-1.0,28.7353,95.14999999999999,151.0
375.0,10.0,0.3,500.0,0.302,0.2096,-1.0,31.6496,104.80000000000001,151.0
375.0,10.0,1.0,500.0,0.302,0.2027,-1.0,30.607699999999998,101.35,151.0
400.0,10.0,0.3,500.0,0.275,0.2227,-1.0,30.62125,111.35000000000001,137.5
400.0,10.0,1.0,500.0,0.275,0.206,-1.0,28.325,103.0,137.5
425.0,10.0,0.3,500.0,0.275,0.2247,-1.0,30.896250000000002,112.35000000000001,137.5
425.0,10.0,1.0,500.0,0.275,0.2205,-1.0,30.31875,110.25,137.5
450.0,10.0,0.3,500.0,0.275,0.2271,-1.0,31.22625,113.55,137.5
450.0,10.0,1.0,500.0,0.275,0.2259,-1.0,31.061249999999998,112.94999999999999,137.5
475.0,10.0,0.3,500.0,0.275,0.2387,-1.0,32.82125,119.35,137.5
475.0,10.0,1.0,500.0,0.275,0.234,-1.0,32.175000000000004,117.0,137.5
500.0,10.0,0.3,500.0,0.254,0.2398,-1.0,30.454600000000003,119.9,127.0
500.0,10.0,1.0,500.0,0.254,0.2491,-1.0,31.6357,124.55,127.0
525.0,10.0,0.3,500.0,0.254,0.2537,-1.0,32.219899999999996,126.85,127.0
525.0,10.0,1.0,500.0,0.254,0.2461,-1.0,31.254700000000003,123.05000000000001,127.0
550.0,10.0,0.3,500.0,0.254,0.262,-1.0,33.274,131.0,127.0
550.0,10.0,1.0,500.0,0.254,0.2794,-1.0,35.483799999999995,139.7,127.0
575.0,10.0,0.3,500.0,0.254,0.2658,-1.0,33.7566,132.89999999999998,127.0
575.0,10.0,1.0,500.0,0.254,0.2607,-1.0,33.1089,130.35,127.0
600.0,10.0,0.3,500.0,0.237,0.2723,-1.0,32.26755,136.15,118.5
600.0,10.0,1.0,500.0,0.237,0.2735,-1.0,32.40975,136.75,118.5
625.0,10.0,0.3,500.0,0.237,0.2793,-1.0,33.097049999999996,139.65,118.5
625.0,10.0,1.0,500.0,0.237,0.2624,-1.0,31.094400000000004,131.20000000000002,118.5
650.0,10.0,0.3,500.0,0.237,0.2795,-1.0,33.12075,139.75,118.5
650.0,10.0,1.0,500.0,0.237,0.2738,-1.0,32.445299999999996,136.9,118.5
675.0,10.0,0.3,500.0,0.237,0.2821,-1.0,33.428850000000004,141.05,118.5
675.0,10.0,1.0,500.0,0.237,0.2858,-1.0,33.8673,142.9,118.5
700.0,10.0,0.3,500.0,0.237,0.2855,-1.0,33.83175,142.75,118.5
700.0,10.0,1.0,500.0,0.237,0.2986,-1.0,35.3841,149.29999999999998,118.5
725.0,10.0,0.3,500.0,0.237,0.2993,-1.0,35.46705,149.65,118.5
725.0,10.0,1.0,500.0,0.237,0.2934,-1.0,34.7679,146.7,118.5
750.0,10.0,0.3,500.0,0.237,0.2905,-1.0,34.42425,145.25,118.5
750.0,10.0,1.0,500.0,0.237,0.3042,-1.0,36.047700000000006,152.10000000000002,118.5
775.0,10.0,0.3,500.0,0.237,0.2982,-1.0,35.3367,149.10000000000002,118.5
775.0,10.0,1.0,500.0,0.237,0.2956,-1.0,35.0286,147.79999999999998,118.5
800.0,10.0,0.3,500.0,0.237,0.3085,-1.0,36.557249999999996,154.25,118.5
800.0,10.0,1.0,500.0,0.237,0.3155,-1.0,37.38675,157.75,118.5
825.0,10.0,0.3,500.0,0.237,0.3054,-1.0,36.1899,152.7,118.5
825.0,10.0,1.0,500.0,0.237,0.3211,-1.0,38.05035,160.55,118.5
850.0,10.0,0.3,500.0,0.237,0.3213,-1.0,38.07405,160.64999999999998,118.5
850.0,10.0,1.0,500.0,0.237,0.3132,-1.0,37.1142,156.6,118.5
875.0,10.0,0.3,500.0,0.237,0.3178,-1.0,37.6593,158.9,118.5
875.0,10.0,1.0,500.0,0.237,0.3367,-1.0,39.89895,168.35,118.5
900.0,10.0,0.3,500.0,0.237,0.3217,-1.0,38.121449999999996,160.85,118.5
900.0,10.0,1.0,500.0,0.237,0.3119,-1.0,36.96015,155.95000000000002,118.5
925.0,10.0,0.3,500.0,0.237,0.3176,-1.0,37.6356,158.79999999999998,118.5
925.0,10.0,1.0,500.0,0.237,0.3219,-1.0,38.14515,160.95000000000002,118.5
950.0,10.0,0.3,500.0,0.237,0.342,-1.0,40.527,171.0,118.5
950.0,10.0,1.0,500.0,0.237,0.3254,-1.0,38.559900000000006,162.70000000000002,118.5
975.0,10.0,0.3,500.0,0.237,0.3356,-1.0,39.7686,167.8,118.5
975.0,10.0,1.0,500.0,0.237,0.3253,-1.0,38.548049999999996,162.64999999999998,118.5
1000.0,10.0,0.3,500.0,0.237,0.3448,-1.0,40.8588,172.4,118.5
1000.0,10.0,1.0,500.0,0.237,0.329,-1.0,38.9865,164.5,118.5
1025.0,10.0,0.3,500.0,0.237,0.3432,-1.0,40.669200000000004,171.6,118.5
1025.0,10.0,1.0,500.0,0.237,0.3489,-1.0,41.34465,174.45,118.5
1050.0,10.0,0.3,500.0,0.237,0.3335,-1.0,39.51975,166.75,118.5
1050.0,10.0,1.0,500.0,0.237,0.3351,-1.0,39.70935,167.55,118.5
1075.0,10.0,0.3,500.0,0.237,0.3428,-1.0,40.6218,171.4,118.5
1075.0,10.0,1.0,500.0,0.237,0.3395,-1.0,40.23075,169.75,118.5
1100.0,10.0,0.3,500.0,0.237,0.3644,-1.0,43.181400000000004,182.2,118.5
1100.0,10.0,1.0,500.0,0.237,0.345,-1.0,40.8825,172.5,118.5
250.0,15.0,0.3,150.0,0.361,0.1419,-1.0,7.683885,21.285,54.15
250.0,15.0,1.0,150.0,0.361,0.1311,-1.0,7.0990649999999995,19.665,54.15
275.0,15.0,0.3,150.0,0.361,0.1634,-1.0,8.848109999999998,24.509999999999998,54.15
275.0,15.0,1.0,150.0,0.361,0.1747,-1.0,9.460004999999999,26.205,54.15
300.0,15.0,0.3,150.0,0.302,0.1686,-1.0,7.63758,25.29,45.3
300.0,15.0,1.0,150.0,0.302,0.1668,-1.0,7.556039999999999,25.02,45.3
325.0,15.0,0.3,150.0,0.302,0.1905,-1.0,8.62965,28.575,45.3
325.0,15.0,1.0,150.0,0.302,0.1762,-1.0,7.981859999999999,26.43,45.3
350.0,15.0,0.3,150.0,0.302,0.2022,-1.0,9.159659999999999,30.33,45.3
350.0,15.0,1.0,150.0,0.302,0.1992,-1.0,9.02376,29.88,45.3
375.0,15.0,0.3,150.0,0.302,0.1996,-1.0,9.041879999999999,29.94,45.3
375.0,15.0,1.0,150.0,0.302,0.2085,-1.0,9.445049999999998,31.275,45.3
400.0,15.0,0.3,150.0,0.275,0.2283,-1.0,9.417375,34.245,41.25
400.0,15.0,1.0,150.0,0.275,0.2203,-1.0,9.087375,33.045,41.25
425.0,15.0,0.3,150.0,0.275,0.2094,-1.0,8.63775,31.41,41.25
425.0,15.0,1.0,150.0,0.275,0.2162,-1.0,8.91825,32.43,41.25
450.0,15.0,0.3,150.0,0.275,0.2372,-1.0,9.7845,35.58,41.25
450.0,15.0,1.0,150.0,0.275,0.2293,-1.0,9.458625,34.395,41.25
475.0,15.0,0.3,150.0,0.275,0.2434,-1.0,10.04025,36.51,41.25
475.0,15.0,1.0,150.0,0.275,0.2365,-1.0,9.755625,35.475,41.25
500.0,15.0,0.3,150.0,0.254,0.2496,-1.0,9.50976,37.44,38.1
500.0,15.0,1.0,150.0,0.254,0.2475,-1.0,9.42975,37.125,38.1
525.0,15.0,0.3,150.0,0.254,0.2569,-1.0,9.78789,38.535000000000004,38.1
525.0,15.0,1.0,150.0,0.254,0.2579,-1.0,9.825990000000001,38.685,38.1
550.0,15.0,0.3,150.0,0.254,0.2547,-1.0,9.70407,38.205,38.1
550.0,15.0,1.0,150.0,0.254,0.2628,-1.0,10.01268,39.419999999999995,38.1
575.0,15.0,0.3,150.0,0.254,0.2653,-1.0,10.10793,39.794999999999995,38.1
575.0,15.0,1.0,150.0,0.254,0.2667,-1.0,10.16127,40.004999999999995,38.1
600.0,15.0,0.3,150.0,0.237,0.2893,-1.0,10.284614999999999,43.395,35.55
600.0,15.0,1.0,150.0,0.237,0.2856,-1.0,10.15308,42.84,35.55
625.0,15.0,0.3,150.0,0.237,0.2825,-1.0,10.042874999999999,42.37499999999999,35.55
625.0,15.0,1.0,150.0,0.237,0.2778,-1.0,9.875789999999999,41.67,35.55
650.0,15.0,0.3,150.0,0.237,0.2767,-1.0,9.836685,41.505,35.55
650.0,15.0,1.0,150.0,0.237,0.2946,-1.0,10.473029999999998,44.19,35.55
675.0,15.0,0.3,150.0,0.237,0.2851,-1.0,10.135305,42.765,35.55
675.0,15.0,1.0,150.0,0.237,0.2847,-1.0,10.121084999999999,42.705,35.55
700.0,15.0,0.3,150.0,0.237,0.2792,-1.0,9.925559999999999,41.88,35.55
700.0,15.0,1.0,150.0,0.237,0.2931,-1.0,10.419705,43.965,35.55
725.0,15.0,0.3,150.0,0.237,0.2971,-1.0,10.561904999999998,44.565,35.55
725.0,15.0,1.0,150.0,0.237,0.2886,-1.0,10.25973,43.290000000000006,35.55
750.0,15.0,0.3,150.0,0.237,0.2899,-1.0,10.305945,43.485,35.55
750.0,15.0,1.0,150.0,0.237,0.2936,-1.0,10.43748,44.040000000000006,35.55
775.0,15.0,0.3,150.0,0.237,0.3155,-1.0,11.216024999999998,47.325,35.55
775.0,15.0,1.0,150.0,0.237,0.3109,-1.0,11.052494999999999,46.635,35.55
800.0,15.0,0.3,150.0,0.237,0.3003,-1.0,10.675665,45.045,35.55
800.0,15.0,1.0,150.0,0.237,0.3112,-1.0,11.063159999999998,46.68,35.55
825.0,15.0,0.3,150.0,0.237,0.2943,-1.0,10.462365,44.145,35.55
825.0,15.0,1.0,150.0,0.237,0.3091,-1.0,10.988504999999998,46.364999999999995,35.55
850.0,15.0,0.3,150.0,0.237,0.3151,-1.0,11.201804999999998,47.265,35.55
850.0,15.0,1.0,150.0,0.237,0.319,-1.0,11.340449999999999,47.85,35.55
875.0,15.0,0.3,150.0,0.237,0.3277,-1.0,11.649734999999998,49.155,35.55
875.0,15.0,1.0,150.0,0.237,0.3266,-1.0,11.610629999999999,48.99,35.55
900.0,15.0,0.3,150.0,0.237,0.3205,-1.0,11.393775,48.075,35.55
900.0,15.0,1.0,150.0,0.237,0.3341,-1.0,11.877255,50.115,35.55
925.0,15.0,0.3,150.0,0.237,0.3227,-1.0,11.471984999999998,48.405,35.55
925.0,15.0,1.0,150.0,0.237,0.3273,-1.0,11.635514999999998,49.095,35.55
950.0,15.0,0.3,150.0,0.237,0.3324,-1.0,11.816819999999998,49.86,35.55
950.0,15.0,1.0,150.0,0.237,0.3296,-1.0,11.717279999999999,49.44,35.55
975.0,15.0,0.3,150.0,0.237,0.3414,-1.0,12.136769999999999,51.209999999999994,35.55
