m,mNeu,dm,filterEff
250.0,210,40.0,0.22276237607
250.0,200,50.0,0.234065160155
250.0,190,60.0,0.247044950724
250.0,180,70.0,0.259054660797
250.0,170,80.0,0.267416805029
275.0,235,40.0,0.240566238761
275.0,225,50.0,0.253318816423
275.0,215,60.0,0.267263799906
275.0,205,70.0,0.280696809292
275.0,195,80.0,0.291956841946
300.0,260,40.0,0.257125377655
300.0,250,50.0,0.27042761445
300.0,240,60.0,0.285795420408
300.0,230,70.0,0.300665318966
300.0,220,80.0,0.313369035721
325.0,285,40.0,0.271877199411
325.0,275,50.0,0.285579532385
325.0,265,60.0,0.301957339048
325.0,255,70.0,0.318029791117
325.0,245,80.0,0.332325279713
350.0,310,40.0,0.286238580942
350.0,300,50.0,0.299936294556
350.0,290,60.0,0.316703617573
350.0,280,70.0,0.333697080612
350.0,270,80.0,0.349200189114
375.0,335,40.0,0.298490583897
375.0,325,50.0,0.313205033541
375.0,315,60.0,0.330146729946
375.0,305,70.0,0.348143845797
375.0,295,80.0,0.364698290825
400.0,360,40.0,0.309712857008
400.0,350,50.0,0.324878275394
400.0,340,60.0,0.342636048794
400.0,330,70.0,0.36073243618
400.0,320,80.0,0.377645224333
425.0,385,40.0,0.320716112852
425.0,375,50.0,0.33577466011
425.0,365,60.0,0.354391306639
425.0,355,70.0,0.371904194355
425.0,345,80.0,0.391088217497
450.0,410,40.0,0.33013355732
450.0,400,50.0,0.345296233892
450.0,390,60.0,0.363654911518
450.0,380,70.0,0.383390188217
450.0,370,80.0,0.40221953392
475.0,435,40.0,0.338599890471
475.0,425,50.0,0.354758679867
475.0,415,60.0,0.373576909304
475.0,405,70.0,0.393031477928
475.0,395,80.0,0.412524998188
500.0,460,40.0,0.348459362984
500.0,450,50.0,0.364345192909
500.0,440,60.0,0.381312102079
500.0,430,70.0,0.402389734983
500.0,420,80.0,0.421447515488
525.0,485,40.0,0.356981247663
525.0,475,50.0,0.369973272085
525.0,465,60.0,0.390015542507
525.0,455,70.0,0.409314870834
525.0,445,80.0,0.428491234779
550.0,510,40.0,0.361582010984
550.0,500,50.0,0.377607166767
550.0,490,60.0,0.397318899632
550.0,480,70.0,0.419084906578
550.0,470,80.0,0.436794608831
575.0,535,40.0,0.370406359434
575.0,525,50.0,0.385174423456
575.0,515,60.0,0.404503256083
575.0,505,70.0,0.425257742405
575.0,495,80.0,0.443094342947
600.0,560,40.0,0.373859971762
600.0,550,50.0,0.388888537884
600.0,540,60.0,0.409413307905
600.0,530,70.0,0.429639458656
600.0,520,80.0,0.449798822403
625.0,585,40.0,0.380185514688
625.0,575,50.0,0.398372262716
625.0,565,60.0,0.413343787193
625.0,555,70.0,0.437773108482
625.0,545,80.0,0.454368650913
650.0,610,40.0,0.385464936495
650.0,600,50.0,0.400617003441
650.0,590,60.0,0.422043591738
650.0,580,70.0,0.439760029316
650.0,570,80.0,0.464864581823
675.0,635,40.0,0.388953775167
675.0,625,50.0,0.405643254519
675.0,615,60.0,0.423662692308
675.0,605,70.0,0.448138415813
675.0,595,80.0,0.467044115067
700.0,660,40.0,0.393763482571
700.0,650,50.0,0.407587200403
700.0,640,60.0,0.431539565325
700.0,630,70.0,0.452025264502
700.0,620,80.0,0.471169084311
725.0,685,40.0,0.397908359766
725.0,675,50.0,0.412065714598
725.0,665,60.0,0.43296533823
725.0,655,70.0,0.455163419247
725.0,645,80.0,0.477331578732
750.0,710,40.0,0.401581853628
750.0,700,50.0,0.416739612818
750.0,690,60.0,0.435323357582
750.0,680,70.0,0.457506299019
750.0,670,80.0,0.477348297834
775.0,735,40.0,0.403945565224
775.0,725,50.0,0.421224534512
775.0,715,60.0,0.441988885403
775.0,705,70.0,0.461270540953
775.0,695,80.0,0.481702446938
800.0,760,40.0,0.406208485365
800.0,750,50.0,0.428183346987
800.0,740,60.0,0.442657828331
800.0,730,70.0,0.466646462679
800.0,720,80.0,0.486036270857
